id_recibo,producto_id,pedido_id,cantidad,valor_unitario,valor_total,ciudad,costo_envio
1,41518,341,3,260,780,BR-BA,156.0
2,4307,1174,5,6175,30875,BR-RJ,6175.0
3,22407,1399,3,200,600,BR-PB,120.0
4,3820,1652,6,139,834,BR-DF,166.8
5,29012,2470,3,525,1575,BR-BA,315.0
6,72621,2980,3,179,537,BR-MG,107.4
7,86243,3443,4,350,1400,BR-PR,280.0
8,29012,3557,5,525,2625,BR-MS,525.0
9,61071,3585,3,450,1350,BR-SP,270.0
10,100961,3687,2,480,960,BR-GO,192.0
11,45695,3722,5,240,1200,BR-AM,240.0
12,59337,3870,5,390,1950,BR-CE,390.0
13,79079,4004,4,320,1280,BR-RS,256.0
14,27336,4471,2,250,500,BR-AC,100.0
15,60010,5347,1,90,90,BR-RO,18.0
16,56571,6129,5,420,2100,BR-DF,420.0
17,3820,6355,4,139,556,BR-BA,111.2
18,40508,7562,2,245,490,BR-MT,98.0
19,57708,8077,4,990,3960,BR-CE,792.0
20,17329,9626,6,590,3540,BR-CE,708.0
21,43888,10557,1,190,190,BR-DF,38.0
22,12609,10809,5,320,1600,BR-BA,320.0
23,62594,11320,1,300,300,BR-RR,60.0
24,100481,12119,1,410,410,BR-CE,82.0
25,6888,12392,3,350,1050,BR-PE,210.0
26,70813,13009,5,120,600,BR-PR,120.0
27,14420,13550,2,690,1380,BR-MA,276.0
28,31651,13792,3,180,540,BR-PE,108.0
29,75706,15194,5,100,500,BR-RS,100.0
30,31835,15954,2,399,798,BR-DF,159.6
31,17258,16179,6,420,2520,BR-PA,504.0
32,77558,16504,5,790,3950,BR-AM,790.0
33,41189,16637,5,160,800,BR-MS,160.0
34,31651,16781,4,180,720,BR-MS,144.0
35,4553,16923,2,110,220,BR-BA,44.0
36,53458,17133,6,450,2700,BR-PR,540.0
37,89334,18674,3,350,1050,BR-MG,210.0
38,75706,18823,6,100,600,BR-PR,120.0
39,57696,19040,6,410,2460,BR-PE,492.0
40,27546,19990,5,336,1680,BR-MS,336.0
41,49497,21708,5,320,1600,BR-SC,320.0
42,14420,21847,2,690,1380,BR-GO,276.0
43,4553,21923,2,110,220,BR-SP,44.0
44,6137,23640,5,100,500,BR-MT,100.0
45,51238,23788,6,410,2460,BR-PR,492.0
46,98640,23813,2,990,1980,BR-SE,396.0
47,86845,24839,6,110,660,BR-SC,132.0
48,83795,24977,1,310,310,BR-TO,62.0
49,14836,25911,1,1100,1100,BR-PA,220.0
50,27546,26372,6,336,2016,BR-MG,403.2
51,27546,27529,5,336,1680,BR-AP,336.0
52,5995,27554,3,398,1194,BR-PR,238.8
53,22407,28549,1,200,200,BR-MA,40.0
54,83009,28987,2,280,560,BR-RJ,112.0
55,74864,31305,5,130,650,BR-PA,130.0
56,61356,31814,6,390,2340,BR-AM,468.0
57,93262,32635,6,450,2700,BR-BA,540.0
58,75706,32705,3,100,300,BR-PI,60.0
59,17990,33370,6,3800,22800,BR-SE,4560.0
60,21244,34970,4,1120,4480,BR-MT,896.0
61,86544,35238,6,50,300,BR-RO,60.0
62,61356,35535,4,390,1560,BR-RO,312.0
63,18128,36109,3,795,2385,BR-CE,477.0
64,13906,36267,6,340,2040,BR-AP,408.0
65,13906,36626,2,340,680,BR-PB,136.0
66,57696,37202,5,410,2050,BR-SC,410.0
67,7193,37450,3,320,960,BR-PE,192.0
68,17329,39103,3,590,1770,BR-MS,354.0
