pedido_id,producto_id,vendedor_id,fecha_compra,total
341,41518,6,2019-01-05,780
1174,4307,3,2019-01-05,30875
1399,22407,1,2019-01-05,600
1652,3820,4,2019-01-05,834
2470,29012,2,2019-01-05,1575
2980,72621,1,2019-01-05,537
3443,86243,3,2019-01-05,1400
3557,29012,4,2019-01-05,2625
3585,61071,1,2019-01-05,1350
3687,100961,3,2019-01-06,960
3722,45695,2,2019-01-06,1200
3870,59337,3,2019-01-07,1950
4004,79079,5,2019-01-08,1280
4471,27336,2,2019-01-09,500
5347,60010,1,2019-01-10,90
6129,56571,1,2019-01-10,2100
6355,3820,5,2019-01-11,556
7562,40508,1,2019-01-12,490
8077,57708,3,2019-01-12,3960
9626,17329,4,2019-01-13,3540
10557,43888,4,2019-01-13,190
10809,12609,1,2019-01-14,1600
11320,62594,2,2019-01-14,300
12119,100481,2,2019-01-14,410
12392,6888,3,2019-01-14,1050
13009,70813,5,2019-01-15,600
13550,14420,1,2019-01-15,1380
13792,31651,2,2019-01-15,540
15194,75706,5,2019-01-16,500
15954,31835,2,2019-01-16,798
16179,17258,5,2019-01-16,2520
16504,77558,2,2019-01-17,3950
16637,41189,3,2019-01-17,800
16781,31651,2,2019-01-17,720
16923,4553,5,2019-01-17,220
17133,53458,5,2019-01-17,2700
18674,89334,2,2019-01-17,1050
18823,75706,4,2019-01-17,600
19040,57696,1,2019-01-17,2460
19990,27546,5,2019-01-18,1680
21708,49497,5,2019-01-18,1600
21847,14420,2,2019-01-18,1380
21923,4553,5,2019-01-18,220
23640,6137,2,2019-01-19,500
23788,51238,2,2019-01-19,2460
23813,98640,2,2019-01-19,1980
24839,86845,2,2019-01-19,660
24977,83795,1,2019-01-20,310
25911,14836,2,2019-01-20,1100
26372,27546,2,2019-01-20,2016
27529,27546,4,2019-01-20,1680
27554,5995,1,2019-01-20,1194
28549,22407,3,2019-01-20,200
28987,83009,4,2019-01-21,560
31305,74864,5,2019-01-22,650
31814,61356,2,2019-01-22,2340
32635,93262,2,2019-01-22,2700
32705,75706,5,2019-01-22,300
33370,17990,4,2019-01-23,22800
34970,21244,3,2019-01-23,4480
35238,86544,1,2019-01-23,300
35535,61356,2,2019-01-23,1560
36109,18128,3,2019-01-23,2385
36267,13906,2,2019-01-24,2040
36626,13906,2,2019-01-24,680
37202,57696,5,2019-01-24,2050
37450,7193,5,2019-01-24,960
39103,17329,4,2019-01-24,1770
39279,45979,3,2019-01-25,280
39502,71770,1,2019-01-25,1060
39834,61356,5,2019-01-25,390
40610,4835,1,2019-01-25,2240
42139,74864,2,2019-01-25,650
42363,12895,2,2019-01-25,15600
42734,19432,2,2019-01-25,380
42852,37384,2,2019-01-25,2100
42990,80644,5,2019-01-25,3960
43127,5995,1,2019-01-25,2388
43308,51238,2,2019-01-25,2460
45501,33976,5,2019-01-25,480
45768,29510,4,2019-01-25,360
45940,8707,2,2019-01-26,150
46083,8673,4,2019-01-26,2940
46133,75706,2,2019-01-26,600
46161,13814,5,2019-01-26,2200
47817,12895,4,2019-01-26,7800
48064,53941,4,2019-01-26,1680
48191,65473,4,2019-01-26,630
48306,89334,1,2019-01-26,350
48400,28699,2,2019-01-26,2100
48442,8673,5,2019-01-26,2450
49448,44424,1,2019-01-26,1440
49523,18212,2,2019-01-26,240
51015,54794,3,2019-01-26,1400
51499,67445,4,2019-01-26,1920
51696,44379,1,2019-01-26,495
54138,11736,5,2019-01-26,4440
54407,8707,2,2019-01-27,750
54781,41262,5,2019-01-27,780
54993,72621,4,2019-01-27,358
55140,60010,2,2019-01-27,90
56505,67445,2,2019-01-27,960
56522,39814,5,2019-01-27,390
57546,48872,5,2019-01-27,120
58949,7940,5,2019-01-28,6000
59083,17329,2,2019-01-28,2360
59833,21516,5,2019-01-28,1600
60843,84176,4,2019-01-29,930
60947,70673,3,2019-01-29,420
61492,84176,1,2019-01-29,1240
61672,13814,5,2019-01-29,3300
61962,10795,2,2019-01-29,1500
62835,100484,4,2019-01-29,1600
63127,72621,2,2019-01-29,179
65152,9397,2,2019-01-29,2070
65613,31835,5,2019-01-29,399
65616,91248,2,2019-01-29,225
66697,83792,1,2019-01-30,390
69499,71946,2,2019-01-30,870
71163,89334,1,2019-01-30,1400
72042,53138,4,2019-01-30,4140
72918,33349,5,2019-01-30,270
73039,32986,2,2019-01-30,945
73364,24159,2,2019-01-30,270
73934,66539,3,2019-01-30,2394
75193,35129,2,2019-01-30,1600
75489,84743,4,2019-01-30,120
75926,79551,1,2019-01-30,870
76642,37794,3,2019-01-30,210
76691,56380,4,2019-01-30,358
76832,93262,3,2019-01-31,900
77086,4835,3,2019-01-31,2800
77813,21516,1,2019-01-31,960
78517,77079,3,2019-01-31,400
79493,6769,2,2019-01-31,660
80293,40082,3,2019-01-31,1890
80667,70240,1,2019-01-31,1740
80712,15875,1,2019-01-31,1470
80745,3451,5,2019-01-31,750
